,food_name,calories_kcal,total_fat_g,saturated_fat_g,cholesterol_mg,sodium_g,carbohydrates_g,fiber_g,sugar_g,protein_g,vitamin_A_mg,vitamin_C_mg,calcium_mg
379,soymilk,109,4.8,0.5,0.0,0.1,8.4,1.0,6.1,7.1,0.0,0.6,0.0
380,soy vermicelli,463,0.1,0.092,0.0,0.032,115.2,5.5,24.4,0.1,0.0,0.0,77.0
381,tofu fried,35,2.6,0.4,0.0,0.021,1.2,0.5,0.4,2.4,0.0,0.094,0.099
382,tempeh,320,17.9,3.7,0.0,0.068,15.6,0.0,0.0,30.8,0.0,0.0,184.3
383,koyadofu,81,5.2,0.7,0.0,0.081,1.7,1.2,0.0,8.9,0.0,0.029,0.0
384,meatless meatloaf,110,5.0,0.8,0.0,0.3,4.5,2.6,0.7,11.8,0.0,0.0,16.2
385,soya vanille joghurt alpro,21,0.6,0.1,0.0,0.0,1.0,0.0,0.09,0.3,0.0,0.0,0.0
386,soybean curd cheese,340,18.2,2.6,0.0,0.094,15.5,0.0,3.6,28.1,0.0,0.0,423.0
387,soy sauce,8,0.054,0.025,0.0,0.9,0.8,0.1,0.097,1.3,0.0,0.01,0.0
388,soybean dry roasted,419,20.1,2.9,0.0,0.077,30.4,7.5,0.0,36.8,0.0,4.3,130.2
389,soybean oil,120,13.6,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,meatless chicken,376,21.4,3.1,0.0,1.2,6.1,6.0,0.0,39.7,0.0,0.0,58.8
391,soybean cooked,296,15.4,2.2,0.0,0.075,17.1,10.3,5.2,28.6,0.0,0.4,0.099
392,soymilk nonfat,68,0.046,0.0,0.0,0.1,10.1,0.5,8.9,6.0,0.1,0.0,281.9
393,soy flour,23,1.1,0.2,0.0,0.023,1.8,0.5,0.4,1.8,0.0,0.009,0.061
394,soybean lecithin oil,104,13.6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,tofu raw,188,11.9,1.7,0.0,0.06,4.7,0.7,0.0,20.0,0.0,0.2,868.0
396,soy chips,109,2.1,0.3,0.0,0.2,15.0,1.0,0.5,7.5,0.0,0.0,48.4
397,green soybean raw,376,17.4,2.0,0.0,0.017,28.3,10.8,0.0,33.2,0.0,74.2,504.3
398,soy proteins concentrate,93,0.1,0.04,0.0,0.3,7.2,1.6,0.0,18.0,0.0,0.0,102.7
399,soybean margarine,34,3.8,0.8,0.0,0.005,0.043,0.0,0.0,0.052,0.067,0.077,1.4
400,chocolate soymilk nonfat,107,0.046,0.0,0.0,0.1,20.7,0.5,8.9,6.0,0.1,0.0,281.9
401,okara,93,2.1,0.2,0.0,0.07,15.3,0.0,0.0,3.9,0.0,0.1,0.0
402,meatless meatballs,284,13.0,2.1,0.0,0.8,11.5,6.6,1.8,30.2,0.0,0.0,36.0
403,vanilla soymilk,131,4.3,0.5,0.0,0.1,15.3,1.5,9.7,7.9,0.0,0.0,60.8
404,soy meal raw,414,2.9,0.3,0.0,0.017,49.0,0.0,0.0,54.8,0.0,0.0,297.7
405,soymilk low fat,104,1.5,0.0,0.0,0.04,17.5,1.9,8.5,4.0,0.0,0.0,199.3
406,sprouted soybean raw,85,4.7,0.7,0.0,0.005,6.7,0.8,0.0,9.2,0.0,0.1,0.0
407,soybean raw,830,37.1,5.4,0.0,0.023,56.1,17.3,13.6,67.9,0.0,11.2,515.2
408,tempeh cooked,55,3.2,1.0,0.0,0.084,2.6,0.0,0.0,5.1,0.0,0.0,27.2
409,vanilla soymilk light,83,2.1,0.2,0.0,0.2,9.4,1.5,1.0,6.4,0.0,0.0,298.9
410,chocolate soymilk,153,3.7,0.6,0.0,0.1,24.2,1.0,19.1,5.5,0.0,0.2,0.074
411,soy oil,120,13.6,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,natto,169,8.8,1.3,0.0,0.026,11.5,4.3,3.9,14.2,0.0,0.1,0.085
413,chrysanthemum raw,12,0.3,0.0,0.0,0.012,1.5,1.5,0.0,1.7,0.0,0.061,0.2
414,gourd cooked,100,0.6,0.035,0.0,0.065,25.5,5.2,9.2,1.2,0.0,0.2,0.03
415,cauliflower raw,3,0.081,0.094,0.0,0.042,0.6,0.3,0.2,0.2,0.0,0.019,0.033
416,red cabbage raw,53,0.3,0.002,0.0,0.079,12.5,3.6,6.5,2.4,0.0,96.9,76.5
